position_id,ticker,shares,entry_price,entry_date,proposal_date,exit_price,exit_date,status,target_price,stop_loss,note,signal_type,conviction,hypothesis_id,exit_stage,mae_pct,mfe_pct,mfe_capture_pct,rule_adherence_score
pos-001,ASTS,36.0,92.62,2026-04-05,,94.90,2026-04-11,closed,109.59,84.13,HIGH確信。宇宙D2D通信、268%QoQ成長。フルサイズ$3350 | TIME_EXIT +2.5%,technical_breakout,,,,,,,
pos-002,AAOI,19.0,103.91,2026-04-05,,150.60,2026-04-11,closed,131.18,90.28,HIGH確信・初期60%。MACD回復後に追加予定($2000初期) | TARGET_HIT +44.9%,technical_breakout,,,,,,,
pos-003,ALAB,11.0,149.05,2026-04-11,,212.84,2026-04-25,closed,176.81,162.00,HIGH確信。TARGET_REACHED +42.8% | 2026-04-25 利確SELL（monitor alert）,earnings_beat,,,,,,,
pos-004,CRDO,4.0,119.59,2026-04-11,,160.69,2026-04-18,closed,134.12,112.32,MEDIUM確信。TARGET_REACHED +34.4% | 2026-04-18 部分利確4株 Zacks Strong Buy upgrade,analyst_upgrade,,,,,,,
pos-005,CRDO,4.0,119.59,2026-04-11,,195.04,2026-04-25,closed,185.00,148.00,MEDIUM確信継続。TARGET_REACHED 2回目 +63.1% | 2026-04-25 利確SELL（monitor alert）,analyst_upgrade,,,,,,,
pos-006,CRWV,6.0,102.00,2026-04-11,,119.90,2026-05-05,closed,119.90,94.84,LOW確信・ハイリスク。Meta $21B+Anthropic契約。volume 2.88x。D/E=894のため最小ポジション。$612枠 | TARGET_REACHED +17.5% | 2026-05-05 利確SELL（decision）,analyst_upgrade,,,,,,,
pos-007,NVDA,7.0,208.27,2026-04-25,,198.45,2026-05-05,closed,218.83,202.99,HIGH確信。AI最強銘柄。rev+73%/EPS+96%。52週高値ブレイク。Options BULLISH。$1458枠 | STOP_LOSS -4.72% | 2026-05-05 損切りSELL,earnings_beat,,,,-4.72,,,
pos-008,PANW,5.0,178.54,2026-04-25,,207.88,2026-05-09,closed,194.69,170.47,MEDIUM確信。CEO Nikesh Arora $10M自社株買い(3/27)。Options BULLISH。EPS+60.5%。$893枠,earnings_beat,,,,,,,
pos-009,UAL,5,93.0,2026-04-26,,92.85,2026-05-16,closed,103.45,93.0,LOW確信・スコア6.5。RSI=47理想入口。Options BULLISH。Forward PE=6.61。分散目的。ESCALATE 2026-04-26 | 【2026-05-09 STAGE1】$99.58で1株売却(25%利確)。ストップ→買値$93.00 | 【2026-05-16 FULL_EXIT】STOP_BREACH marginal。EMA20/50下抜け、RSI46急落。STAGE1利確済み。損切り確定。,watchlist_escalate,,,1,-0.16,7.08,,
pos-010,WAT,3.0,355.0,2026-05-09,,329.22,2026-05-16,closed,397.0,339.39,MEDIUM確信。Options pc=0.156全候補最強。Revenue+91.5% YoY。Insider NET_BUYER $451K。$1065枠 | 【2026-05-16 FULL_EXIT】STOP_BREACH -7.27%。5ペルソナ全会一致SELL。Healthcare LAGGING。MFE+0.04%でテーゼ未検証。損切り完了。,analyst_upgrade,,,0,-7.26,0.04,,
